trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9964740739761475}",20,0,-139.3085452654603,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
43,False,"{'a': 0.002, 'e': 0.996304278638842}",20,0,-95.17971727510596,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9961304980857502}",30,0,-121.1288965796943,"{0: 19, 1: 1, 2: 9, 3: 0, 4: 1}",0
45,False,"{'a': 0.002, 'e': 0.9959527330119943}",20,0,-64.17359412031729,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.002, 'e': 0.9957709841286342}",20,0,-95.46652718219664,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.002, 'e': 0.9955852521626654}",20,0,-58.0466129653246,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
48,False,"{'a': 0.002, 'e': 0.9953955378570153}",20,0,-43.395227763217406,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.995201841970541}",25,4,-148.8957471683151,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 2}",1
50,False,"{'a': 0.002, 'e': 0.9950041652780257}",25,0,-67.72770607005431,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
51,False,"{'a': 0.002, 'e': 0.994802508570176}",25,0,-44.808919174354024,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
52,False,"{'a': 0.002, 'e': 0.9945968726536185}",25,0,-150.91463281272814,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.9943872583508965}",20,0,-19.311937504523016,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
54,False,"{'a': 0.002, 'e': 0.9941736665004669}",20,0,-167.53771629456108,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.002, 'e': 0.9939560979566968}",25,0,-221.52643100121603,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 4}",0
56,False,"{'a': 0.002, 'e': 0.9937345535898603}",25,0,-205.9294479177693,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0
57,False,"{'a': 0.002, 'e': 0.9935090342861344}",25,0,-57.841378233750184,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
58,False,"{'a': 0.002, 'e': 0.9932795409475959}",35,0,-225.56675554954515,"{0: 21, 1: 0, 2: 9, 3: 2, 4: 3}",0
59,False,"{'a': 0.002, 'e': 0.993046074492218}",20,0,-155.5426076494355,"{0: 7, 1: 2, 2: 9, 3: 1, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.9928086358538663}",35,0,-151.53771912894237,"{0: 22, 1: 6, 2: 4, 3: 1, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.9925672259822949}",20,0,-74.53814063528449,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
62,False,"{'a': 0.002, 'e': 0.9923218458431429}",25,0,-201.6993385462085,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 3}",0
63,False,"{'a': 0.002, 'e': 0.9920724964179307}",20,0,-230.8927469578516,"{0: 7, 1: 2, 2: 7, 3: 0, 4: 4}",0
64,False,"{'a': 0.002, 'e': 0.9918191787040556}",30,0,-144.7273837975083,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
65,False,"{'a': 0.002, 'e': 0.9915618937147881}",25,0,-98.68646768344782,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
66,False,"{'a': 0.002, 'e': 0.9913006424792677}",25,0,-232.56981194048086,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
67,False,"{'a': 0.002, 'e': 0.9910354260424993}",20,0,-26.26812203091758,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.002, 'e': 0.990766245465348}",25,0,-90.95276536424596,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",1
69,False,"{'a': 0.002, 'e': 0.9904931018245359}",30,0,-89.42800428718193,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
70,False,"{'a': 0.002, 'e': 0.9902159962126371}",25,0,-110.6725149480223,"{0: 14, 1: 7, 2: 1, 3: 2, 4: 1}",0
71,False,"{'a': 0.002, 'e': 0.9899349297380738}",20,0,-115.32554672529118,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
72,False,"{'a': 0.002, 'e': 0.9896499035251115}",20,0,-95.88302988150036,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
73,False,"{'a': 0.002, 'e': 0.9893609187138546}",20,0,-164.5336172859305,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
74,False,"{'a': 0.002, 'e': 0.989067976460242}",25,0,-96.13437403003252,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
75,False,"{'a': 0.002, 'e': 0.9887710779360422}",25,0,-65.86860533614671,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
76,False,"{'a': 0.002, 'e': 0.9884702243288492}",30,0,-226.36815002316354,"{0: 14, 1: 2, 2: 11, 3: 0, 4: 3}",0
